"country_profiles_og.country","Region","population","pop_dens","gdp","gdp_growth","gdp_xcap","eco_agri","eco_industry","eco_services","empl_agri","empl_industry","empl_services","pop_growth","urban_pop","educ_exp"
"Afghanistan","SouthernAsia",35530,54.4,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,3.2,26.7,3.3
"Albania","SouthernEurope",2930,106.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,-0.1,57.4,3.5
"Algeria","NorthernAfrica",41318,17.3,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,2,70.7,4.883
"American Samoa","Polynesia",56,278.2,113504.63,3.134,16595.932,4.474,21.565,75.01,8.1,19.324,70.988,0.431,87.2,4.365
"Andorra","SouthernEurope",77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,3.582,17.438,78.888,-1.6,85.1,3.3
"Angola","MiddleAfrica",29784,23.9,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,3.5,44.1,3.508
"Anguilla","Caribbean",15,165.7,320,2.9,21879.6,2.3,15.7,82,4.977,15.289,77.697,1.2,100,5.345
"Antigua and Barbuda","Caribbean",102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,8.672,16.987,72.69,1.1,23.8,4.785
"Argentina","SouthAmerica",44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,1,91.8,5.3
"Armenia","WesternAsia",2930,102.9,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,0.3,62.7,2.8
"Aruba","Caribbean",105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,0.5,41.5,6.2
"Australia","Oceania",24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,1.5,89.4,5.2
"Austria","WesternEurope",8736,106,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,0.6,66,5.5
"Azerbaijan","WesternAsia",9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,1.3,54.6,2.6
"Bahamas","Caribbean",395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,1.4,82.9,5.418
"Bahrain","WesternAsia",1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,2,88.8,2.7
"Bangladesh","SouthernAsia",164670,1265,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,1.2,34.3,1.9
"Barbados","Caribbean",286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,0.3,31.5,6.6
"Belarus","EasternEurope",9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.449,76.7,4.9
"Belgium","WesternEurope",11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,0.6,97.9,6.6
"Belize","CentralAmerica",375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,2.2,44,6.4
"Benin","WesternAfrica",11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,2.8,44,4.4
"Bermuda","NorthernAmerica",61,1227,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,-0.6,100,1.7
"Bhutan","SouthernAsia",808,21.2,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,1.6,38.6,7.4
"Bolivia (Plurinational State of)","SouthAmerica",11052,10.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,1.6,68.5,7.3
"Bonaire, Sint Eustatius and Saba","Caribbean",25,77.4,72750.01,3.033,17403.349,3.466,28.575,67.573,8.317,20.468,68.861,3.2,74.7,4.222
"Bosnia and Herzegovina","SouthernEurope",3507,68.8,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,-1,39.8,4.69
"Botswana","SouthernAfrica",2292,4,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,1.8,57.4,5.352
"Brazil","SouthAmerica",209288,25,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,0.9,85.7,6
"British Virgin Islands","Caribbean",31,208,908,-1.1,30144.5,1,11.1,87.8,5.024,16.242,78.471,2,46.2,6.6
"Brunei Darussalam","South-easternAsia",429,81.3,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,1.4,77.2,4.4
"Bulgaria","EasternEurope",7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,-0.6,73.9,4.1
